Distance [m];Packet RSSI [dBm];RSSI [dBm];SNR [dB];Power level [dBm];SF;BW [kHz];Freq [MHz];CR;Lat;Long;Speed [km/h]
100;-114;-104;-1;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-115;-103;-3;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-102;-7;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-115;-103;-7;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-103;-6;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-104;-7;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-117;-105;-9;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-104;-7;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-115;-104;-5;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-104;-5;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-103;-5;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-115;-103;-7;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-104;-7;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-115;-104;-3;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-103;-5;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-117;-104;-9;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-112;-105;-12;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-104;-5;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-115;-103;-3;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-116;-103;-5;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-117;-103;-9;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-118;-102;-11;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-118;-101;-15;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-118;-103;-16;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-119;-104;-15;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-120;-102;-16;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-120;-103;-16;20;12;62.5;868.1;'4/5';0.000000;0.000000;0.0
100;-117;-102;-11;20;12;62.5;868.1;'4/5';56.469983;9.997770;25.4
100;-117;-104;-11;20;12;62.5;868.1;'4/5';56.469753;9.997705;30.7
100;-119;-104;-13;20;12;62.5;868.1;'4/5';56.469532;9.997667;31.1
100;-117;-104;-8;20;12;62.5;868.1;'4/5';56.469395;9.997720;28.2
100;-117;-102;-9;20;12;62.5;868.1;'4/5';56.469413;9.997958;29.3
100;-116;-103;-6;20;12;62.5;868.1;'4/5';56.469378;9.998707;30.6
100;-118;-104;-10;20;12;62.5;868.1;'4/5';56.469238;9.998890;32.6
100;-117;-102;-13;20;12;62.5;868.1;'4/5';56.469122;9.999120;36.7
100;-119;-104;-12;20;12;62.5;868.1;'4/5';56.468988;9.999370;37.6
100;-119;-108;-14;20;12;62.5;868.1;'4/5';56.468710;9.999865;38.0
100;-116;-103;-11;20;12;62.5;868.1;'4/5';56.468605;10.000067;29.6
100;-118;-104;-9;20;12;62.5;868.1;'4/5';56.468535;10.000225;27.2
100;-115;-103;-7;20;12;62.5;868.1;'4/5';56.468420;10.000403;31.1
100;-117;-108;-8;20;12;62.5;868.1;'4/5';56.468335;10.000605;28.0
100;-116;-103;-4;20;12;62.5;868.1;'4/5';56.468282;10.000767;20.2
100;-115;-104;-7;20;12;62.5;868.1;'4/5';56.468237;10.000848;16.5
100;-115;-102;-7;20;12;62.5;868.1;'4/5';56.468163;10.000802;18.2
100;-116;-106;-9;20;12;62.5;868.1;'4/5';56.468107;10.000627;24.6
100;-117;-102;-8;20;12;62.5;868.1;'4/5';56.468012;10.000368;35.0
100;-117;-102;-9;20;12;62.5;868.1;'4/5';56.467882;10.000100;39.3
100;-117;-103;-8;20;12;62.5;868.1;'4/5';56.467732;9.999818;43.2
100;-116;-105;-11;20;12;62.5;868.1;'4/5';56.467582;9.999537;41.9
100;-117;-102;-10;20;12;62.5;868.1;'4/5';56.467437;9.999262;41.9
100;-118;-104;-12;20;12;62.5;868.1;'4/5';56.467292;9.998988;41.7
100;-118;-105;-13;20;12;62.5;868.1;'4/5';56.467150;9.998712;40.6
100;-118;-102;-15;20;12;62.5;868.1;'4/5';56.466857;9.998205;40.4
100;-110;-102;-15;20;12;62.5;868.1;'4/5';56.466127;9.997000;9.7
100;-118;-103;-12;20;12;62.5;868.1;'4/5';56.466083;9.996832;14.2
100;-118;-104;-14;20;12;62.5;868.1;'4/5';56.466127;9.996608;27.6
100;-120;-105;-17;20;12;62.5;868.1;'4/5';56.466825;9.991732;15.6
100;-118;-103;-15;20;12;62.5;868.1;'4/5';56.466832;9.991643;0.0
